Name,Terminal Name,ID,Latitude,Longitude
"Broadwick Street, Soho",003489,260,51.5136846,-0.135580879
"Princes Square, Bayswater",003491,261,51.5134891,-0.191351186
"LSBU (Borough Road), Elephant & Castle",001095,262,51.49874469,-0.103132904
"St. Mary Axe, Aldgate",001184,263,51.51422502,-0.080660083
"Tysoe Street, Clerkenwell",001146,264,51.52644342,-0.109256828
"Southwick Street, Paddington",003490,265,51.51595344,-0.169249375
"Queen's Gate (North), Kensington",001204,266,51.50102668,-0.180246101
"Regency Street, Westminster",001155,267,51.49206037,-0.132224622
"Belgrave Road, Victoria",001087,268,51.49320445,-0.144132875
"Empire Square, The Borough",001209,269,51.50082346,-0.089740764
"Kennington Lane Rail Bridge, Vauxhall",001190,270,51.4863434,-0.122492418
"London Zoo,  The Regent's Park",001136,271,51.53583617,-0.156285395
"Baylis Road, Waterloo",001133,272,51.50144456,-0.110699309
"Belvedere Road 1, South Bank",001186,273,51.50613324,-0.114686385
"Warwick Road, Olympia",001134,274,51.49671237,-0.20528437
"Barbican Centre, Barbican",001191,275,51.52004497,-0.092176447
"Lower Thames Street, Monument",001098,276,51.50930161,-0.084985356
"Kensington Church Street, Kensington",001143,277,51.50315739,-0.191496313
"Tooley Street, Bermondsey",001142,278,51.5034938,-0.07962099
"Royal Avenue 2, Chelsea",003462,280,51.490083,-0.162418
"Smith Square, Westminster",003480,281,51.49580589,-0.127575233
"Royal London Hospital, Whitechapel",001077,282,51.518675,-0.06111
"Kingsway, Covent Garden",001141,283,51.51440928,-0.118478757
"Lambeth North Station, Waterloo",001117,284,51.49914063,-0.112031483
"St. John's Wood Road, St. John's Wood",001187,286,51.5272947,-0.174653609
"Bedford Way, Bloomsbury",001156,287,51.52367314,-0.128377673
"Elizabeth Bridge, Victoria",001138,288,51.49236962,-0.147478734
"South Audley Street, Mayfair",003493,289,51.50923,-0.15128999999998882
"St Mary's Hospital, Paddington",003496,290,51.518268,-0.17110323
"Claverton Street, Pimlico",001135,291,51.48483991,-0.138089062
"Montpelier Street, Knightsbridge",001206,292,51.49888404,-0.165471605
"Kensington Olympia Station, Olympia",001214,293,51.49815779,-0.209494128
"St. George's Square, Pimlico",001195,294,51.488226,-0.135635511
"Swan Street, The Borough",001216,295,51.50029631,-0.092762704
"Knaresborough Place, Earl's Court",200069,296,51.49363156,-0.190603326
"Geraldine Street, Elephant & Castle",003498,297,51.49612799,-0.106000855
"Curlew Street, Shad Thames",001213,298,51.50227992,-0.074189225
"Vincent Square, Westminster",001196,299,51.49398524,-0.136928582
"Serpentine Car Park, Hyde Park",001217,300,51.505014,-0.17306032
"Marylebone Lane, Marylebone",001152,301,51.51475963,-0.148105415
"Putney Pier, Wandsworth",003492,302,51.466907,-0.216573
"Albert Gate, Hyde Park",001132,303,51.50295379,-0.158456089
"Rathbone Street, Fitzrovia",003497,306,51.51816295,-0.135025698
"Black Lion Gate, Kensington Gardens",001157,307,51.50990837,-0.187842717
"Long Lane , Bermondsey",001189,308,51.49907558,-0.085666316
"Embankment (Savoy), Strand",001192,309,51.50963123,-0.119047563
"Black Prince Road, Vauxhall",001205,310,51.4908679,-0.116911864
"Foley Street, Fitzrovia",003494,311,51.51918144,-0.140485596
"Grove End Road, St. John's Wood",001130,312,51.53088935,-0.176770502
"Wells Street, Fitzrovia",003495,313,51.51734403,-0.138072691
"Tyers Gate, Bermondsey",003485,314,51.50088934,-0.083159352
"The Tennis Courts, The Regent's Park",001199,315,51.52536703,-0.153463612
"Warwick Row, Westminster",000968,316,51.497998,-0.14296064
"Dickens Square, Borough",001208,317,51.49679128,-0.093913472
"Sackville Street, Mayfair",001197,318,51.51004801,-0.138846453
"Baldwin Street, St. Luke's",003500,319,51.52702563,-0.088542771
"Queen Mother Sports Centre, Victoria",001148,320,51.49357351,-0.139956043
"Bermondsey Street, Bermondsey",002637,321,51.49785559,-0.081608045
"Palissy Street, Shoreditch",003502,322,51.526293,-0.073955
"Clifton Street, Shoreditch",003501,323,51.523196,-0.083067
"Ontario Street, Elephant & Castle",001200,324,51.49652013,-0.101384068
"St. Martin's Street, West End",001158,325,51.50908747,-0.129697889
"Graham Street, Angel",001131,326,51.53266186,-0.099981142
"Westbourne Green, Westbourne",001128,327,51.522168,-0.1928141999999866
"New North Road 2, Hoxton",002641,328,51.53114,-0.086016
"Prince Albert Road, The Regent's Park",002636,329,51.53589283,-0.160854428
"Eastbourne Mews, Paddington",001203,330,51.51641749,-0.179135079
"Bunhill Row, Moorgate",001211,331,51.52085887,-0.089887855
"Nevern Place, Earl's Court",001210,332,51.49334336,-0.194757949
"Palace Gardens Terrace, Notting Hill",002633,333,51.50860544,-0.193764092
"Concert Hall Approach 1, South Bank",002635,334,51.505044,-0.115851
"Tavistock Street, Covent Garden",001207,335,51.51196803,-0.120718759
"Concert Hall Approach 2, South Bank",001212,336,51.504942,-0.115533
"Pembridge Villas, Notting Hill",002589,337,51.51108452,-0.197524944
"Wellington Street , Strand",001202,338,51.51175646,-0.119643424
"Risinghill Street, Angel",001127,339,51.5333196,-0.1117812
"Bank of England Museum, Bank",001201,340,51.51444134,-0.087587447
"Craven Street, Strand",001160,341,51.50810309,-0.12602103
"London Zoo Car Park, The Regent's Park",001188,343,51.53692216,-0.150181444
"Flood Street, Chelsea",001218,345,51.48802358,-0.166878535
"Lower Marsh, Waterloo",001219,347,51.50013942,-0.113936001
"Grosvenor Square, Mayfair",010627,348,51.51217033,-0.150481272
"St. George Street, Mayfair",001221,349,51.51196,-0.142783033
"Queen's Gate, Kensington Gardens",001231,350,51.5017154373867,-0.1798541843891
"Macclesfield Rd, St Lukes",001226,351,51.529423,-0.097122
"Vauxhall Street, Vauxhall",001224,352,51.486965,-0.116625
"Greycoat Street , Westminster",010623,353,51.49459148,-0.134234258
"Northumberland Avenue, Strand",001097,354,51.506767,-0.123702
"Clapham Common Station, Clapham Common",002694,355,51.461388,-0.13922146
"South Kensington Station, South Kensington",002685,356,51.494412,-0.173881
"Howland Street, Fitzrovia",002691,357,51.520994,-0.139016
"High Holborn , Covent Garden",001229,358,51.516226,-0.124826
"Butler Place, Westminster",002662,359,51.49782999,-0.135440826
"Howick Place, Westminster",002666,360,51.49675303,-0.138733562
"Waterloo Station 2, Waterloo",002692,361,51.50391973,-0.11342629
"Royal College Street, Camden Town",002686,362,51.536264,-0.133952
"Store Street, Bloomsbury",003507,364,51.519572,-0.13214036
"City Road, Angel",002690,365,51.530344,-0.100168
"Millennium Hotel, Mayfair",001230,366,51.5109192966489,-0.1511263847351
"Harrowby Street, Marylebone",002680,367,51.5173721,-0.1642075
"Harriet Street, Knightsbridge",002681,368,51.50024195,-0.15934065
"Paddington Green, Paddington",002670,370,51.520205,-0.174593
"King Edward Walk, Waterloo",002639,371,51.49775,-0.10988
"Sardinia Street, Holborn",002649,372,51.515208,-0.117863
"Prince Consort Road, Knightsbridge",003499,373,51.49980661,-0.176415994
"Waterloo Station 1, Waterloo",002696,374,51.50402794,-0.11386436
"Kensington Town Hall, Kensington",010632,375,51.50194596,-0.194392952
"Millbank Tower, Pimlico",002683,376,51.49188409,-0.125674815
"Waterloo Bridge, South Bank",002648,377,51.50535447,-0.113656543
"Natural History Museum, South Kensington",002677,378,51.49559291,-0.179077626
"Turquoise Island, Notting Hill",002682,379,51.51431171,-0.200838199
"Stanhope Gate, Mayfair",003506,380,51.50686435,-0.150666888
"Charlotte Street, Fitzrovia",002669,381,51.51953043,-0.13577731
