Terminal Name,ID,Number of Docks,Name
200013,461,26,"Aston Street, Stepney"
200105,462,45,"Bonny Street, Camden Town"
200093,463,22,"Thurtle Road, Haggerston"
200082,464,25,"St. Mary & St. Michael Church, Stepney"
200152,465,28,"Pitfield Street North,Hoxton"
200158,466,21,"Whiston Road, Haggerston"
200168,467,17,"Southern Grove, Bow"
200150,468,24,"Cantrell Road, Bow"
022178,469,44,"Lindfield Street, Poplar"
200174,470,46,"Mostyn Grove, Bow"
200006,471,19,"Hewison Street, Old Ford"
200019,472,21,"Malmesbury Road, Bow"
022167,473,19,"Millharbour, Millwall"
200155,474,20,"Gascoyne Road, Victoria Park"
200004,475,31,"Lightermans Road, Millwall"
200009,476,29,"Stebondale Street, Cubitt Town"
200018,477,36,"Spindrift Avenue, Millwall"
200012,478,21,"Stepney Green Station, Stepney"
200156,479,20,"Pott Street, Bethnal Green"
200115,480,25,"Flamborough Street, Limehouse"
200022,481,35,"Saunders Ness Road, Cubitt Town"
200052,482,14,"Exhibition Road Museums 2, South Kensington"
022166,483,33,"Albert Gardens, Stepney"
022172,484,24,"Bromley High Street, Bow"
022173,485,24,"Old Ford Road, Bethnal Green"
022174,486,37,"Granby Street, Shoreditch"
022175,487,23,"Canton Street, Poplar"
022176,488,22,"Reardon Street, Wapping"
022177,489,34,"Christian Street, Whitechapel"
200090,490,45,"Pennington Street, Wapping"
200249,491,45,"Queen Mary's, Mile End"
200230,492,39,"Maplin Street, Mile End"
200233,494,36,"South Quay East, Canary Wharf"
200252,495,39,"Bow Church Station, Bow"
200255,496,39,"Devons Road, Bow"
200242,497,27,"Merchant Street, Bow"
200251,498,42,"Bow Road Station, Bow"
200011,499,36,"Furze Green, Bow"
200148,500,41,"Ansell House, Stepney"
200073,501,24,"Cephas Street, Bethnal Green"
200241,502,21,"Bonner Gate, Victoria Park"
200250,503,36,"Cleveland Way, Stepney"
200243,504,30,"St. John's Park, Cubitt Town"
200038,505,29,"Ackroyd Drive, Bow"
200036,506,23,"Bell Lane, Liverpool Street"
200131,507,31,"Clarkson Street, Bethnal Green"
200157,508,18,"Fournier Street, Whitechapel"
200253,509,19,"Fore Street Avenue, Guildhall"
